2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/updateRoleForAccount],methods=[PUT]}" onto public java.lang.String com.gd.controller.account.AccountController.updateRoleForAccount(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/account/updatePassword],methods=[POST]}" onto public java.lang.String com.gd.controller.account.AccountController.updateAccountPassword(java.util.Map<java.lang.String, java.lang.String>)
2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/accountUser/{id}/user],methods=[GET]}" onto public java.lang.String com.gd.controller.account_user.AccountUserController.queryAccountUser(java.lang.String)
2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/accountUser/{id}/accounts],methods=[GET]}" onto public java.lang.String com.gd.controller.account_user.AccountUserController.queryUserAccountList(java.lang.String)
2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/app],methods=[POST]}" onto public java.lang.String com.gd.controller.app.AppController.add(com.gd.domain.app.App)
2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/app/{id}],methods=[DELETE]}" onto public java.lang.String com.gd.controller.app.AppController.delete(java.lang.String)
2019-05-16 08:31:12.478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/app],methods=[GET]}" onto public java.lang.String com.gd.controller.app.AppController.queryForList()
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/authority],methods=[POST]}" onto public java.lang.String com.gd.controller.authority.AuthorityController.add(com.gd.domain.authority.Authority)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/authority/update],methods=[POST]}" onto public void com.gd.controller.authority.AuthorityController.update(com.gd.domain.authority.Authority)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/authority/{id}],methods=[DELETE]}" onto public java.lang.String com.gd.controller.authority.AuthorityController.delete(java.lang.String)
2019-05-16 08:31:12.494 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/authority/queryAll],methods=[GET]}" onto public java.lang.String com.gd.controller.authority.AuthorityController.queryforAll()
